epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,243.714,0.97755,4.55177,0.0158,0.90037,0.25974,0.32623,0.28215,0.88394,7.21637,0.01834,0.00997743,0.00332581,0.00997743,0.00332581,0.00997743,0.00332581,0.00997743,0.00332581
2,515.242,0.99081,2.03376,0.01564,0.85734,0.2906,0.32005,0.24683,1.07456,4.38542,0.02385,0.0199115,0.00663717,0.0199115,0.00663717,0.0199115,0.00663717,0.0199115,0.00663717
3,745.57,1.06573,1.2906,0.01739,0.73537,0.29652,0.32647,0.24744,1.3685,4.74921,0.03351,0.0297796,0.00992653,0.0297796,0.00992653,0.0297796,0.00992653,0.0297796,0.00992653
4,990.203,1.13518,1.21987,0.01832,0.60405,0.33781,0.32091,0.24094,1.19489,5.01992,0.02647,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1242.75,1.09377,1.0995,0.01697,0.70797,0.37157,0.37331,0.28859,1.19248,4.38272,0.02569,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1468.54,1.06566,1.04029,0.01615,0.63448,0.39512,0.39158,0.31399,1.11781,5.08763,0.02554,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1727.47,1.03223,0.99759,0.01559,0.6284,0.37625,0.37923,0.30741,1.14239,4.39702,0.02718,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1999.24,1.01767,0.94871,0.0151,0.79488,0.39375,0.39827,0.32447,1.1346,4.67945,0.02728,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,2251.41,0.98558,0.90797,0.01453,0.66566,0.39765,0.41227,0.3249,1.07877,4.81064,0.0234,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2494.98,0.98115,0.90654,0.01414,0.71214,0.41911,0.42251,0.33693,1.05737,4.29385,0.02302,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2784.55,0.96419,0.86304,0.01381,0.72559,0.41804,0.42506,0.33904,1.04473,4.61679,0.02185,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,3013.58,0.95424,0.85166,0.01369,0.74683,0.42361,0.4404,0.36186,0.9808,4.22889,0.02118,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,3233.11,0.93634,0.84259,0.0135,0.66094,0.43942,0.42358,0.3503,1.03288,4.52622,0.02323,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,3458.75,0.93413,0.83313,0.01328,0.83086,0.3973,0.43899,0.35681,1.01114,4.88966,0.02105,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3706.05,0.92907,0.81661,0.01308,0.63848,0.45608,0.44103,0.35999,1.03809,4.92024,0.02306,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,3938.79,0.92196,0.79889,0.01289,0.6567,0.44114,0.45826,0.38364,0.92658,4.66772,0.01856,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,4139.52,0.89842,0.78125,0.01256,0.87173,0.39689,0.44866,0.37198,0.95091,4.70583,0.02073,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,4343.06,0.89336,0.77468,0.01269,0.49746,0.43671,0.43414,0.36966,0.89789,4.92517,0.01801,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,4598.42,0.88545,0.75591,0.01239,0.55549,0.45523,0.4623,0.37783,0.93482,4.76385,0.01863,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,4818.54,0.87221,0.73857,0.01215,0.57398,0.46668,0.45137,0.38058,0.85534,4.90206,0.01657,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,5005.84,0.88724,0.74309,0.01227,0.71574,0.45163,0.44857,0.379,0.88052,5.0073,0.01762,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,5216.96,0.86535,0.7143,0.01185,0.61332,0.47083,0.46029,0.39607,0.87046,4.74428,0.01694,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,5451.85,0.8638,0.73266,0.01189,0.89391,0.41347,0.47011,0.39523,0.86322,4.68254,0.01698,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,5675.66,0.8637,0.72668,0.01182,0.59795,0.47489,0.47451,0.39788,0.84811,4.40144,0.01668,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,5874.01,0.85306,0.69731,0.01177,0.51924,0.47868,0.46995,0.40205,0.83369,4.39721,0.01658,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,6061.88,0.84248,0.68465,0.0115,0.58049,0.47939,0.48391,0.40662,0.84825,4.40928,0.01709,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,6265.2,0.84785,0.70336,0.0117,0.64129,0.48262,0.48525,0.41038,0.87889,4.60926,0.01806,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,6508.2,0.84873,0.70538,0.01148,0.64998,0.48896,0.48304,0.40911,0.83475,4.77471,0.01637,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,6802.72,0.8428,0.67727,0.01143,0.69256,0.48461,0.49255,0.41117,0.85602,4.85058,0.01722,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,7048.14,0.84645,0.68145,0.01152,0.65913,0.48235,0.4855,0.40433,0.91648,4.62564,0.01933,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,7288,0.83001,0.68719,0.01133,0.64052,0.48225,0.49581,0.4285,0.82281,4.63345,0.01665,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,7519.81,0.82378,0.66128,0.01106,0.72279,0.4925,0.48674,0.41602,0.84194,5.21417,0.01726,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,7749.11,0.83427,0.66197,0.01127,0.63474,0.50099,0.49482,0.4128,0.84722,4.8463,0.01691,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,7978.11,0.83385,0.65516,0.0113,0.60557,0.50039,0.48624,0.41362,0.81988,4.66106,0.01648,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,8220.2,0.81917,0.66398,0.01116,0.59675,0.50106,0.48009,0.41319,0.8275,4.76102,0.01716,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,8490.53,0.81308,0.64411,0.0108,0.651,0.5013,0.49729,0.42581,0.8341,4.57933,0.01718,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,8669.51,0.80305,0.63307,0.01088,0.63913,0.49025,0.48959,0.42319,0.84075,4.91582,0.01736,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,8937.93,0.81459,0.64491,0.0108,0.63275,0.51046,0.49952,0.42683,0.85758,4.71169,0.01801,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,9186.79,0.80107,0.62656,0.01075,0.63419,0.51415,0.51,0.43566,0.78738,4.70382,0.01546,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,9434.62,0.80198,0.62507,0.01069,0.68433,0.50727,0.50918,0.42792,0.8038,4.66803,0.01562,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,9637.53,0.79972,0.62823,0.01074,0.62491,0.51297,0.49539,0.42878,0.80888,4.80841,0.01571,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,9870.19,0.79972,0.62798,0.01078,0.67046,0.50271,0.50989,0.43815,0.78366,4.43473,0.01513,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,10056.8,0.78994,0.62466,0.01073,0.63785,0.51319,0.51373,0.44401,0.78734,4.60081,0.01552,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,10304.2,0.79699,0.61959,0.01068,0.70436,0.51986,0.50796,0.44123,0.79619,4.40425,0.01566,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,10512.8,0.80145,0.61728,0.0107,0.62192,0.53538,0.51526,0.43545,0.77981,4.83061,0.01511,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,10765.7,0.79856,0.61674,0.01045,0.66537,0.53453,0.52857,0.44389,0.77362,4.9176,0.01503,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,11036.2,0.7947,0.61438,0.01048,0.69453,0.52228,0.52224,0.43904,0.78383,4.81239,0.01513,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,11284.3,0.78498,0.58636,0.01022,0.7042,0.53537,0.52602,0.44776,0.78034,4.4462,0.01514,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,11496.5,0.77443,0.5913,0.01029,0.68894,0.53047,0.52318,0.44569,0.76979,4.9906,0.01531,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,11769.1,0.77031,0.59537,0.01014,0.67697,0.53075,0.51982,0.44138,0.77875,5.04732,0.01509,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,11995,0.78359,0.59387,0.01043,0.62586,0.52616,0.51834,0.44357,0.78927,4.92082,0.01531,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,12250.8,0.7729,0.59269,0.01014,0.71289,0.52876,0.53106,0.45397,0.76348,4.96458,0.0147,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,12513.3,0.76397,0.57117,0.0101,0.68326,0.52958,0.53002,0.45466,0.75877,4.92012,0.01473,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,12744.6,0.77383,0.59138,0.01016,0.7066,0.54411,0.53422,0.45978,0.78032,4.84938,0.01528,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,12966.5,0.76154,0.59185,0.01011,0.69456,0.52412,0.53357,0.45996,0.76526,4.82074,0.01492,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,13161.2,0.75956,0.57146,0.01015,0.68174,0.54327,0.53217,0.46044,0.76858,4.83614,0.01525,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,13379.1,0.7628,0.5684,0.00997,0.70924,0.53414,0.5366,0.46298,0.76464,4.90896,0.01489,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,13572,0.75575,0.55282,0.00996,0.6827,0.54422,0.54456,0.46234,0.75791,4.89343,0.01472,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,13753.7,0.76647,0.5692,0.01017,0.70433,0.53323,0.53947,0.4655,0.75559,5.08173,0.01483,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,13984.5,0.75838,0.55488,0.00973,0.73675,0.5281,0.53742,0.46197,0.78594,5.05802,0.01624,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,14174.5,0.75601,0.56201,0.00989,0.73943,0.53665,0.53828,0.46478,0.77114,4.88454,0.0152,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,14402.8,0.75156,0.55033,0.01,0.71972,0.54479,0.53901,0.46719,0.74542,4.75923,0.01445,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,14617.3,0.75903,0.5667,0.00996,0.73825,0.53502,0.54503,0.46497,0.74405,4.79492,0.01435,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,14830.7,0.74124,0.54607,0.00972,0.78072,0.53094,0.55351,0.47142,0.76584,4.80229,0.01529,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,15082.5,0.75161,0.54446,0.00985,0.73336,0.54388,0.5446,0.46957,0.75159,5.10503,0.01465,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,15287.1,0.74035,0.52863,0.00994,0.74399,0.52974,0.53924,0.46731,0.75077,5.1238,0.01436,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,15513.6,0.75355,0.53544,0.00984,0.69116,0.55944,0.53688,0.46314,0.75499,4.97419,0.01457,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,15736.9,0.75229,0.53372,0.00987,0.77461,0.5257,0.53688,0.46092,0.75249,4.86191,0.01456,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,15922.4,0.74026,0.53728,0.00963,0.72484,0.53265,0.54149,0.46522,0.74382,4.77615,0.01419,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,16141.4,0.73288,0.52789,0.0096,0.70206,0.54246,0.54681,0.47238,0.73265,4.76932,0.01406,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,16335.6,0.74621,0.54412,0.00964,0.71535,0.54983,0.54599,0.47235,0.73173,4.82255,0.01418,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
