epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4827,0.38872,3.05251,0.01008,0.96722,0.84746,0.94218,0.86026,0.48173,4.73214,0.01887,0.000661871,0.000661871,0.000661871
2,110.335,0.39629,1.30306,0.01031,0.94278,0.88983,0.9535,0.86442,0.49282,1.78033,0.01951,0.00131977,0.00131977,0.00131977
3,164.203,0.41445,0.64261,0.01063,0.92947,0.93503,0.95706,0.85741,0.54205,0.92904,0.0216,0.00196887,0.00196887,0.00196887
4,218.513,0.43713,0.43245,0.01137,0.93367,0.95429,0.96303,0.8197,0.74248,0.66481,0.03104,0.0019604,0.0019604,0.0019604
5,272.469,0.39503,0.31258,0.00999,0.95861,0.91599,0.96319,0.8672,0.54334,0.46942,0.02127,0.0019472,0.0019472,0.0019472
6,326.554,0.39116,0.26841,0.00986,0.96435,0.91688,0.95594,0.82949,0.7108,0.48691,0.02988,0.001934,0.001934,0.001934
7,380.629,0.34962,0.23678,0.00874,0.97024,0.93503,0.96683,0.83944,0.63192,0.3893,0.02608,0.0019208,0.0019208,0.0019208
8,434.654,0.35755,0.2207,0.00889,0.96236,0.93898,0.96565,0.85202,0.56821,0.36703,0.02311,0.0019076,0.0019076,0.0019076
9,488.722,0.33683,0.2064,0.00842,0.96697,0.94633,0.96768,0.90542,0.47681,0.33162,0.01865,0.0018944,0.0018944,0.0018944
10,542.739,0.3396,0.20828,0.00845,0.96366,0.89898,0.94348,0.89093,0.44641,0.41571,0.01713,0.0018812,0.0018812,0.0018812
11,596.767,0.30374,0.19287,0.00735,0.96036,0.95809,0.96719,0.90358,0.4676,0.29313,0.01801,0.001868,0.001868,0.001868
12,650.682,0.30567,0.18329,0.00732,0.99118,0.95194,0.97245,0.91494,0.45359,0.28334,0.01753,0.0018548,0.0018548,0.0018548
13,704.574,0.30593,0.17192,0.00754,0.97659,0.94284,0.97007,0.87311,0.56988,0.32006,0.02316,0.0018416,0.0018416,0.0018416
14,758.45,0.30154,0.17791,0.00736,0.96958,0.90022,0.96085,0.89737,0.43647,0.34419,0.01682,0.0018284,0.0018284,0.0018284
15,812.371,0.29133,0.17268,0.00697,0.97369,0.94101,0.96486,0.92027,0.39166,0.30866,0.01457,0.0018152,0.0018152,0.0018152
16,866.376,0.29479,0.17228,0.0073,0.96764,0.92915,0.96398,0.83974,0.60464,0.3781,0.02461,0.001802,0.001802,0.001802
17,919.873,0.28827,0.16401,0.00698,0.98774,0.96328,0.97278,0.91541,0.41739,0.24273,0.01587,0.0017888,0.0017888,0.0017888
18,973.451,0.26463,0.14945,0.0063,0.9911,0.94424,0.97379,0.92642,0.39252,0.23131,0.01509,0.0017756,0.0017756,0.0017756
19,1027.02,0.27368,0.15968,0.00654,0.97111,0.94944,0.96959,0.84829,0.57125,0.33808,0.02408,0.0017624,0.0017624,0.0017624
20,1080.61,0.27634,0.15497,0.00671,0.97254,0.95198,0.96998,0.93048,0.38931,0.28003,0.01479,0.0017492,0.0017492,0.0017492
21,1134.11,0.26825,0.14764,0.00642,0.97097,0.94472,0.97205,0.92406,0.41852,0.26783,0.01586,0.001736,0.001736,0.001736
22,1187.62,0.26572,0.14861,0.00646,0.96492,0.93253,0.96966,0.92132,0.39323,0.26577,0.01477,0.0017228,0.0017228,0.0017228
23,1241.15,0.26547,0.15304,0.00642,0.98026,0.9661,0.97356,0.86492,0.50186,0.26189,0.02026,0.0017096,0.0017096,0.0017096
24,1294.66,0.27074,0.15344,0.00635,0.92701,0.93276,0.95276,0.89611,0.40335,0.3841,0.01538,0.0016964,0.0016964,0.0016964
25,1348.31,0.2731,0.15938,0.00651,0.97381,0.92655,0.96566,0.91958,0.35568,0.37023,0.01287,0.0016832,0.0016832,0.0016832
26,1401.86,0.2633,0.1501,0.00621,0.98304,0.93785,0.97167,0.90919,0.4401,0.26667,0.01711,0.00167,0.00167,0.00167
27,1455.45,0.26194,0.14288,0.00631,0.97677,0.95031,0.97067,0.89642,0.46609,0.30568,0.01848,0.0016568,0.0016568,0.0016568
28,1508.98,0.25658,0.14407,0.006,0.9911,0.94421,0.97,0.91697,0.35986,0.24192,0.01317,0.0016436,0.0016436,0.0016436
29,1562.52,0.24814,0.14294,0.00589,0.96802,0.94048,0.97072,0.91485,0.39095,0.27855,0.01476,0.0016304,0.0016304,0.0016304
30,1616.07,0.2408,0.12521,0.00573,0.97315,0.95763,0.96859,0.90764,0.43656,0.29481,0.01728,0.0016172,0.0016172,0.0016172
31,1669.59,0.24333,0.14267,0.00575,0.98688,0.93785,0.96929,0.90353,0.45406,0.2814,0.0178,0.001604,0.001604,0.001604
32,1723.1,0.24167,0.13353,0.00569,0.99084,0.96045,0.9736,0.93219,0.40244,0.24898,0.01558,0.0015908,0.0015908,0.0015908
33,1776.75,0.24462,0.13749,0.00577,0.99125,0.96012,0.97495,0.929,0.39433,0.2875,0.015,0.0015776,0.0015776,0.0015776
34,1830.31,0.24255,0.12811,0.00562,0.98337,0.9435,0.96342,0.92408,0.39053,0.30446,0.0151,0.0015644,0.0015644,0.0015644
35,1883.96,0.23486,0.13261,0.00546,0.98815,0.94242,0.97164,0.9268,0.35576,0.24711,0.01311,0.0015512,0.0015512,0.0015512
36,1937.44,0.23568,0.12947,0.0056,0.99695,0.9661,0.97192,0.93089,0.30045,0.21031,0.01065,0.001538,0.001538,0.001538
37,1990.87,0.2378,0.12386,0.00561,0.9905,0.9548,0.97163,0.91849,0.41284,0.25278,0.016,0.0015248,0.0015248,0.0015248
38,2044.42,0.22318,0.12539,0.00517,0.98895,0.9548,0.97423,0.93707,0.38477,0.23798,0.01449,0.0015116,0.0015116,0.0015116
39,2097.94,0.21821,0.12989,0.00501,0.99125,0.95991,0.97372,0.9318,0.33203,0.22099,0.01204,0.0014984,0.0014984,0.0014984
40,2151.5,0.21571,0.11983,0.00507,0.9884,0.96291,0.97398,0.94017,0.3608,0.21219,0.01333,0.0014852,0.0014852,0.0014852
41,2205.13,0.21897,0.12782,0.00511,0.9855,0.9597,0.97314,0.93223,0.31343,0.20622,0.01129,0.001472,0.001472,0.001472
42,2258.61,0.21548,0.12341,0.005,0.99416,0.96157,0.97348,0.93469,0.30102,0.20963,0.01066,0.0014588,0.0014588,0.0014588
43,2312.18,0.21653,0.11723,0.00508,0.97932,0.95198,0.9772,0.90557,0.48314,0.26327,0.01893,0.0014456,0.0014456,0.0014456
44,2365.71,0.21396,0.1175,0.00509,0.99133,0.96843,0.97387,0.94128,0.30776,0.21114,0.01098,0.0014324,0.0014324,0.0014324
45,2419.34,0.22052,0.12157,0.00519,0.97964,0.95133,0.97236,0.92299,0.38479,0.28304,0.0146,0.0014192,0.0014192,0.0014192
46,2472.93,0.22118,0.12059,0.00514,0.97667,0.95763,0.97047,0.93797,0.32941,0.225,0.0121,0.001406,0.001406,0.001406
47,2526.4,0.20876,0.11461,0.00488,0.99922,0.96045,0.97405,0.9347,0.37986,0.22981,0.01443,0.0013928,0.0013928,0.0013928
48,2579.97,0.20602,0.11499,0.00479,0.98551,0.96089,0.97358,0.9394,0.27617,0.21221,0.00952,0.0013796,0.0013796,0.0013796
49,2633.51,0.20292,0.10936,0.00469,0.99707,0.96234,0.96401,0.94854,0.25399,0.21912,0.00864,0.0013664,0.0013664,0.0013664
50,2687.12,0.20288,0.11243,0.0048,0.99119,0.9536,0.97209,0.93548,0.37285,0.26497,0.01419,0.0013532,0.0013532,0.0013532
51,2740.58,0.21285,0.11546,0.00491,0.99124,0.95853,0.97345,0.94607,0.25194,0.20045,0.00842,0.00134,0.00134,0.00134
52,2794.31,0.19701,0.112,0.00453,0.99403,0.94104,0.97229,0.93862,0.31614,0.26161,0.01144,0.0013268,0.0013268,0.0013268
53,2847.85,0.20542,0.1131,0.00476,0.97988,0.96289,0.98133,0.91615,0.42676,0.24574,0.01663,0.0013136,0.0013136,0.0013136
54,2901.32,0.19171,0.10536,0.00439,0.99132,0.96826,0.97399,0.88316,0.49826,0.26404,0.02003,0.0013004,0.0013004,0.0013004
55,2957.49,0.21155,0.11097,0.00499,0.99703,0.94687,0.96412,0.93158,0.32989,0.25784,0.01225,0.0012872,0.0012872,0.0012872
56,3020.77,0.18756,0.10258,0.00431,0.96336,0.96893,0.98084,0.93959,0.35451,0.23899,0.01332,0.001274,0.001274,0.001274
57,3075.68,0.19273,0.10415,0.00431,0.98537,0.95143,0.97329,0.94098,0.25349,0.22422,0.00863,0.0012608,0.0012608,0.0012608
58,3132.85,0.18989,0.10808,0.00436,0.97701,0.96038,0.97248,0.94023,0.30037,0.22068,0.01081,0.0012476,0.0012476,0.0012476
59,3190.53,0.18223,0.10068,0.00413,0.98956,0.96328,0.97387,0.94568,0.28739,0.19057,0.00999,0.0012344,0.0012344,0.0012344
60,3244.37,0.18438,0.10126,0.00419,0.9938,0.96893,0.97377,0.9441,0.35459,0.2185,0.01327,0.0012212,0.0012212,0.0012212
61,3298.3,0.181,0.10009,0.00416,0.9827,0.96267,0.97295,0.9417,0.29364,0.21915,0.01023,0.001208,0.001208,0.001208
62,3352.16,0.18625,0.09978,0.00426,0.98727,0.96045,0.9811,0.94219,0.29129,0.2058,0.01025,0.0011948,0.0011948,0.0011948
63,3405.98,0.19083,0.10291,0.00441,0.98828,0.95248,0.97139,0.94108,0.28163,0.23214,0.00974,0.0011816,0.0011816,0.0011816
64,3459.87,0.17654,0.09786,0.0041,0.99128,0.96368,0.97444,0.95069,0.24628,0.17536,0.00818,0.0011684,0.0011684,0.0011684
65,3513.8,0.18701,0.10286,0.00419,0.99117,0.95146,0.97384,0.9418,0.29605,0.18266,0.01023,0.0011552,0.0011552,0.0011552
66,3567.69,0.18081,0.10153,0.00416,0.99347,0.9435,0.9731,0.93427,0.32912,0.23131,0.01191,0.001142,0.001142,0.001142
67,3621.68,0.17592,0.09855,0.004,0.99122,0.95725,0.97342,0.94243,0.27668,0.20399,0.00973,0.0011288,0.0011288,0.0011288
68,3675.6,0.17168,0.09876,0.00384,0.99087,0.96045,0.97389,0.94256,0.28296,0.21719,0.00994,0.0011156,0.0011156,0.0011156
69,3729.37,0.16903,0.0933,0.00373,0.9942,0.96782,0.97404,0.93989,0.34612,0.23617,0.01297,0.0011024,0.0011024,0.0011024
70,3783.24,0.17241,0.0976,0.00387,0.98293,0.93503,0.97198,0.92752,0.40192,0.25535,0.01559,0.0010892,0.0010892,0.0010892
71,3837.05,0.17452,0.09715,0.00396,0.99049,0.9661,0.97296,0.94521,0.28681,0.20526,0.0103,0.001076,0.001076,0.001076
72,3891.04,0.16731,0.09945,0.00381,0.98432,0.96045,0.97379,0.9389,0.25629,0.2057,0.00881,0.0010628,0.0010628,0.0010628
73,3945.07,0.16361,0.09277,0.00367,0.98,0.96896,0.9746,0.93895,0.31859,0.19401,0.01178,0.0010496,0.0010496,0.0010496
74,3998.99,0.1648,0.09286,0.00369,0.99709,0.96831,0.97447,0.94045,0.28575,0.17401,0.01016,0.0010364,0.0010364,0.0010364
75,4052.91,0.16611,0.09205,0.00376,0.99708,0.96478,0.97231,0.94075,0.29818,0.20559,0.01059,0.0010232,0.0010232,0.0010232
76,4106.43,0.17383,0.0973,0.004,0.99419,0.96596,0.97422,0.94716,0.28167,0.17193,0.00984,0.00101,0.00101,0.00101
77,4159.9,0.16773,0.09406,0.00376,0.98786,0.9661,0.97434,0.94656,0.26954,0.16415,0.0094,0.0009968,0.0009968,0.0009968
78,4213.42,0.16147,0.09026,0.00362,0.99412,0.95478,0.9694,0.93238,0.3455,0.21424,0.01295,0.0009836,0.0009836,0.0009836
79,4266.9,0.16776,0.09077,0.0038,0.99032,0.96045,0.97425,0.94906,0.24025,0.17391,0.00814,0.0009704,0.0009704,0.0009704
80,4327.5,0.15525,0.08711,0.00347,0.9942,0.96792,0.97359,0.94356,0.31841,0.18405,0.01162,0.0009572,0.0009572,0.0009572
81,4402.79,0.16182,0.09023,0.00363,0.9942,0.96865,0.97411,0.94765,0.28365,0.18107,0.01024,0.000944,0.000944,0.000944
82,4483.47,0.1558,0.08516,0.00347,0.99114,0.96328,0.97913,0.94866,0.27398,0.18489,0.00977,0.0009308,0.0009308,0.0009308
83,4544.66,0.15644,0.08912,0.00348,0.99705,0.9535,0.97272,0.94131,0.28386,0.19239,0.01007,0.0009176,0.0009176,0.0009176
84,4604.84,0.15044,0.08316,0.00336,0.99417,0.96893,0.9733,0.94792,0.23526,0.19056,0.00802,0.0009044,0.0009044,0.0009044
