epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,236.943,0.80908,3.08477,0.01508,0.82465,0.80381,0.88434,0.65882,0.92732,2.10715,0.02592,0.00996795,0.00332265,0.00996795,0.00332265,0.00996795,0.00332265,0.00996795,0.00332265
2,375.212,0.83773,0.8635,0.015,0.88474,0.85014,0.92625,0.64203,1.13058,0.84101,0.03344,0.0199021,0.00663402,0.0199021,0.00663402,0.0199021,0.00663402,0.0199021,0.00663402
3,496.568,0.92338,0.63417,0.01689,0.83416,0.89087,0.89309,0.53777,1.27846,0.92234,0.04,0.0297702,0.00992339,0.0297702,0.00992339,0.0297702,0.00992339,0.0297702,0.00992339
4,617.854,0.95469,0.61349,0.01755,0.87143,0.91553,0.93227,0.68542,1.06625,0.5869,0.027,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,739.306,0.91838,0.56248,0.01626,0.89327,0.93503,0.96082,0.66272,1.13411,0.55266,0.03044,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,860.576,0.87745,0.51571,0.01519,0.88008,0.9399,0.94644,0.65908,1.14829,0.57607,0.0348,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,982.871,0.85878,0.5052,0.01484,0.90118,0.84469,0.92314,0.68937,0.98376,0.59052,0.02415,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1134.26,0.84821,0.48517,0.01415,0.9227,0.91064,0.96011,0.71617,0.96372,0.49867,0.02443,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1263.54,0.82187,0.4732,0.01371,0.87093,0.89373,0.92998,0.66546,1.07472,0.60516,0.03024,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1391.51,0.82277,0.46087,0.01347,0.92481,0.88828,0.95306,0.72371,0.92956,0.5086,0.02346,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1519.5,0.80562,0.45961,0.01309,0.92467,0.93733,0.96995,0.73869,0.90881,0.43802,0.0217,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1647.52,0.79294,0.42915,0.01278,0.90263,0.91553,0.94684,0.7374,0.86272,0.55924,0.02104,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1775.79,0.78553,0.41584,0.01286,0.94692,0.90463,0.9655,0.75465,0.87356,0.46287,0.02054,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1904.61,0.76925,0.40237,0.01239,0.93831,0.92371,0.97078,0.73865,0.95947,0.42809,0.02376,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,2049.96,0.75516,0.4206,0.01217,0.91704,0.94005,0.96284,0.74987,0.89046,0.4887,0.02147,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,2177.79,0.76122,0.40649,0.01209,0.92876,0.92354,0.96923,0.75066,0.87424,0.44371,0.02104,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,2305.65,0.75488,0.39729,0.01185,0.92022,0.94282,0.9627,0.74367,0.90353,0.44238,0.02179,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,2434.1,0.7391,0.38801,0.01155,0.94876,0.91826,0.96583,0.7455,0.88607,0.45269,0.02243,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2562.24,0.72282,0.37768,0.01125,0.94571,0.91826,0.96714,0.73981,0.93412,0.45874,0.02408,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2690.2,0.72991,0.38932,0.01142,0.90232,0.93135,0.96412,0.72654,0.94803,0.45708,0.02473,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2818.26,0.71913,0.37743,0.01143,0.93396,0.94005,0.97446,0.71754,1.00557,0.41051,0.02735,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2946.28,0.7042,0.35471,0.01127,0.95999,0.91519,0.97291,0.75816,0.89317,0.40392,0.02152,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,3074.28,0.7163,0.35494,0.01113,0.92992,0.94004,0.96763,0.74836,0.90703,0.40913,0.02317,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,3196.46,0.70576,0.34833,0.01095,0.94258,0.89462,0.95099,0.73474,0.91561,0.46541,0.02204,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,3317.4,0.69036,0.34366,0.01069,0.93372,0.9346,0.95656,0.75116,0.85568,0.42425,0.02097,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,3444.6,0.69329,0.34827,0.01083,0.935,0.9455,0.96661,0.74277,0.9466,0.42137,0.02462,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,3574.03,0.70377,0.35093,0.01111,0.93264,0.94311,0.95991,0.72381,0.9465,0.45618,0.02596,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,3703.42,0.68293,0.35217,0.01071,0.95617,0.92916,0.96478,0.74973,0.88344,0.40697,0.02226,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,3830.47,0.68237,0.33112,0.01055,0.94966,0.92531,0.9712,0.72887,0.99362,0.412,0.02723,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
