epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,84.9359,1.09432,5.09071,0.01082,0.89258,0.15778,0.46595,0.33421,0.80304,7.87052,0.00848,0.00065625,0.00065625,0.00065625
2,143.166,1.1341,3.06322,0.01063,0.76896,0.66456,0.77008,0.51938,1.13611,4.54317,0.01087,0.00131419,0.00131419,0.00131419
3,204.421,1.19816,2.14023,0.01191,0.81576,0.67258,0.79361,0.57102,1.10226,2.62001,0.01066,0.00196332,0.00196332,0.00196332
4,315.253,1.1786,1.49359,0.01108,0.76139,0.78764,0.85091,0.5764,1.16608,1.65673,0.01088,0.0019604,0.0019604,0.0019604
5,365.054,1.17934,1.23347,0.0116,0.88691,0.79114,0.87201,0.59746,1.17543,1.28698,0.01167,0.0019472,0.0019472,0.0019472
6,415.343,1.1872,1.08789,0.0115,0.76096,0.8481,0.86614,0.59031,1.03755,1.07035,0.01114,0.001934,0.001934,0.001934
7,460.895,1.13978,0.94754,0.01122,0.82816,0.86709,0.89776,0.62483,1.07289,0.9266,0.01018,0.0019208,0.0019208,0.0019208
8,513.148,1.1538,0.84633,0.01087,0.94184,0.75316,0.88558,0.62887,1.03244,0.94152,0.01039,0.0019076,0.0019076,0.0019076
9,559.343,1.10615,0.80949,0.01044,0.8535,0.84177,0.89994,0.60647,1.03066,0.95097,0.00974,0.0018944,0.0018944,0.0018944
10,611.985,1.07068,0.77778,0.00999,0.87299,0.82654,0.90843,0.69541,0.88948,0.74754,0.0084,0.0018812,0.0018812,0.0018812
11,662.324,1.05019,0.74507,0.00942,0.83412,0.89111,0.91433,0.64356,1.02999,0.72288,0.01045,0.001868,0.001868,0.001868
12,756.889,1.00256,0.6695,0.00931,0.90335,0.88735,0.94529,0.71743,0.87459,0.57374,0.00791,0.0018548,0.0018548,0.0018548
13,798.314,0.95815,0.62324,0.0096,0.83783,0.90506,0.93455,0.70472,0.8612,0.6019,0.00904,0.0018416,0.0018416,0.0018416
14,840.258,1.00557,0.63592,0.00984,0.88058,0.81013,0.91908,0.66755,0.92402,0.64592,0.01061,0.0018284,0.0018284,0.0018284
15,881.044,1.00232,0.63801,0.00991,0.90577,0.85173,0.9418,0.70075,0.92362,0.58805,0.00907,0.0018152,0.0018152,0.0018152
16,930.002,1.02978,0.63835,0.01038,0.94168,0.78481,0.89858,0.73685,0.78832,0.72416,0.00761,0.001802,0.001802,0.001802
17,970.564,0.98689,0.5993,0.00964,0.97747,0.82372,0.92109,0.7182,0.7849,0.64966,0.00702,0.0017888,0.0017888,0.0017888
18,1008.84,0.99851,0.58115,0.00916,0.88653,0.86709,0.93302,0.75683,0.75727,0.58648,0.00751,0.0017756,0.0017756,0.0017756
19,1046.09,0.93369,0.58156,0.00864,0.87362,0.86709,0.92358,0.67394,0.96273,0.62887,0.0097,0.0017624,0.0017624,0.0017624
20,1078.2,0.94351,0.56983,0.00925,0.90805,0.86709,0.94711,0.74874,0.78613,0.54637,0.00696,0.0017492,0.0017492,0.0017492
21,1110.24,0.93504,0.54823,0.009,0.93455,0.82911,0.93669,0.78936,0.6999,0.50739,0.00646,0.001736,0.001736,0.001736
22,1150.41,0.94439,0.5405,0.00845,0.91656,0.85443,0.93017,0.76323,0.74849,0.54162,0.0065,0.0017228,0.0017228,0.0017228
23,1186.74,0.95454,0.54898,0.00868,0.89703,0.88218,0.92687,0.74492,0.77522,0.58234,0.00689,0.0017096,0.0017096,0.0017096
24,1223.21,0.90461,0.50674,0.00845,0.94415,0.85598,0.94056,0.71585,0.83752,0.5341,0.00858,0.0016964,0.0016964,0.0016964
25,1254.58,0.92619,0.52352,0.00905,0.9567,0.83908,0.94154,0.76405,0.75248,0.50821,0.00698,0.0016832,0.0016832,0.0016832
26,1291.28,0.88451,0.52089,0.00841,0.93868,0.87193,0.93778,0.73724,0.85156,0.53121,0.00869,0.00167,0.00167,0.00167
27,1332.07,0.91743,0.50126,0.00874,0.90016,0.85596,0.92901,0.7845,0.67297,0.55826,0.00667,0.0016568,0.0016568,0.0016568
28,1366.8,0.92329,0.51352,0.00876,0.92426,0.8481,0.93262,0.70447,0.84336,0.57967,0.00748,0.0016436,0.0016436,0.0016436
29,1402.6,0.87287,0.4789,0.00798,0.94696,0.90402,0.94816,0.79465,0.69216,0.49092,0.00696,0.0016304,0.0016304,0.0016304
30,1439.83,0.88324,0.47114,0.00818,0.89501,0.86324,0.93349,0.77322,0.7446,0.55191,0.00708,0.0016172,0.0016172,0.0016172
31,1478.95,0.87949,0.46779,0.00788,0.90577,0.87975,0.94234,0.76294,0.74039,0.51211,0.00702,0.001604,0.001604,0.001604
32,1511.02,0.8316,0.48327,0.00768,0.95751,0.85443,0.9516,0.77687,0.71155,0.47374,0.0066,0.0015908,0.0015908,0.0015908
33,1548.49,0.83679,0.47152,0.00792,0.92701,0.88417,0.95058,0.73986,0.82346,0.52691,0.00806,0.0015776,0.0015776,0.0015776
34,1586.42,0.85489,0.45264,0.00817,0.92473,0.85535,0.9452,0.78812,0.6754,0.51773,0.0061,0.0015644,0.0015644,0.0015644
35,1622.39,0.81943,0.45101,0.00776,0.92254,0.87975,0.94172,0.78211,0.68693,0.53835,0.00601,0.0015512,0.0015512,0.0015512
36,1672.84,0.85669,0.45562,0.00755,0.88086,0.93671,0.95134,0.75447,0.76011,0.49936,0.00646,0.001538,0.001538,0.001538
