epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,229.314,0.58847,2.27419,0.01059,0.90246,0.76856,0.85608,0.79577,0.38556,1.467,0.01269,0.00997647,0.00332549,0.00997647,0.00332549,0.00997647,0.00332549,0.00997647,0.00332549
2,505.199,0.61178,0.82617,0.01085,0.91125,0.79582,0.87469,0.72024,0.69341,0.7307,0.02628,0.0198446,0.00661488,0.0198446,0.00661488,0.0198446,0.00661488,0.0198446,0.00661488
3,692.704,0.69362,0.69344,0.01281,0.92287,0.77706,0.85457,0.70831,0.68666,0.81208,0.02544,0.0295808,0.00986026,0.0295808,0.00986026,0.0295808,0.00986026,0.0295808,0.00986026
4,919.443,0.72322,0.67504,0.01323,0.90728,0.74437,0.83113,0.70244,0.62513,0.63993,0.02247,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1245.66,0.69771,0.63494,0.01218,0.92987,0.76956,0.86267,0.77796,0.43893,0.83284,0.01427,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1606.41,0.65126,0.58651,0.01123,0.94546,0.83869,0.90223,0.79343,0.5005,0.44567,0.01752,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1915.77,0.63459,0.56778,0.01081,0.95835,0.81779,0.85354,0.76461,0.4953,0.64193,0.01696,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2211.07,0.6167,0.55306,0.01037,0.96377,0.81833,0.90863,0.80686,0.46219,0.36823,0.01577,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2538.74,0.60706,0.53789,0.00994,0.93236,0.8274,0.8938,0.75469,0.57077,0.5689,0.02047,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2834.54,0.59138,0.52614,0.00969,0.95203,0.82959,0.91673,0.81454,0.45827,0.33321,0.01582,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,3086.71,0.58192,0.51622,0.00949,0.95412,0.84352,0.90139,0.80608,0.47208,0.60782,0.01624,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,3706.97,0.55857,0.50963,0.00905,0.95222,0.85448,0.92802,0.83033,0.41648,0.31691,0.01365,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,4514.67,0.55573,0.50186,0.0089,0.97061,0.84966,0.91286,0.8471,0.36622,0.55585,0.01185,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,5253.42,0.5483,0.48913,0.00879,0.96562,0.85805,0.89785,0.8375,0.38071,0.50157,0.01245,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,6134.32,0.5292,0.45884,0.00861,0.98134,0.85584,0.92578,0.8577,0.34572,0.27306,0.01076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,6700.09,0.53107,0.46142,0.00838,0.95379,0.86277,0.9239,0.86111,0.31936,0.30977,0.00985,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,6878.51,0.5256,0.45756,0.00828,0.97525,0.86588,0.92788,0.84061,0.39246,0.29007,0.01317,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,7076.42,0.52879,0.47658,0.00816,0.97587,0.84527,0.91745,0.84809,0.37682,0.40977,0.01221,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,7263.19,0.51292,0.46073,0.00788,0.97498,0.85611,0.92819,0.86207,0.31249,0.27406,0.00957,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,7432.9,0.49314,0.4321,0.00798,0.97126,0.86932,0.93423,0.86914,0.31911,0.23229,0.00994,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,7613.78,0.49761,0.43706,0.00776,0.96809,0.87784,0.92871,0.86365,0.32818,0.25021,0.01056,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,7782.75,0.49452,0.42942,0.00768,0.96591,0.8746,0.94003,0.86795,0.34116,0.23543,0.01114,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,7951.53,0.50284,0.45425,0.00765,0.97809,0.86105,0.93397,0.84968,0.397,0.25645,0.01385,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,8120.48,0.49576,0.43099,0.00772,0.96892,0.86881,0.91334,0.85895,0.32275,0.39291,0.01036,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,8289.04,0.48786,0.425,0.00751,0.98599,0.86977,0.94217,0.87542,0.33794,0.25484,0.01117,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,8457.83,0.48997,0.42259,0.00746,0.97032,0.87138,0.93683,0.88162,0.27265,0.23111,0.0081,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,8626.68,0.47614,0.41018,0.00715,0.96125,0.87746,0.93642,0.88299,0.28483,0.22865,0.00874,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,8795.65,0.48658,0.41882,0.00739,0.96895,0.87781,0.92375,0.87618,0.27978,0.31447,0.00858,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,8965.03,0.47837,0.42165,0.00721,0.96961,0.88923,0.94559,0.88774,0.28286,0.21837,0.00883,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,9134.7,0.45715,0.37894,0.00709,0.97811,0.88049,0.94045,0.88682,0.28325,0.22991,0.00878,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,9304.48,0.46667,0.40879,0.00712,0.98095,0.88293,0.94119,0.88535,0.27827,0.19924,0.0086,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,9474.35,0.45972,0.39762,0.00703,0.976,0.8718,0.9422,0.88428,0.29029,0.23969,0.0091,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,9668.24,0.45687,0.39196,0.00688,0.97415,0.88585,0.94053,0.88496,0.27751,0.22432,0.00874,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,9837.97,0.45417,0.38898,0.0069,0.97968,0.888,0.94792,0.89442,0.25882,0.21516,0.00794,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,10006.8,0.46471,0.40123,0.00693,0.96752,0.89388,0.9366,0.88198,0.30594,0.24677,0.01003,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,10175.6,0.45822,0.39514,0.00687,0.98979,0.88049,0.95138,0.89506,0.27101,0.19893,0.00843,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,10344.3,0.44267,0.37608,0.00667,0.97212,0.87826,0.94458,0.89393,0.24819,0.21262,0.00744,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,10513.2,0.45972,0.39372,0.00692,0.98052,0.88478,0.94486,0.89349,0.26614,0.22441,0.00808,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,10681.8,0.44214,0.36836,0.0067,0.97706,0.89038,0.94418,0.89591,0.2687,0.21825,0.00847,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,10850.5,0.4466,0.37761,0.00658,0.96992,0.89443,0.94935,0.89859,0.25531,0.1898,0.00776,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,11019.2,0.44358,0.38075,0.00659,0.97197,0.88317,0.94542,0.89335,0.24841,0.2024,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,11187.8,0.43693,0.36643,0.00648,0.98109,0.88853,0.95097,0.90171,0.24243,0.17883,0.00727,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,11356.4,0.4332,0.36494,0.0065,0.97745,0.88265,0.94424,0.89451,0.25735,0.19198,0.00778,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,11525,0.44422,0.37628,0.00651,0.97614,0.88103,0.94846,0.89551,0.25291,0.18331,0.00754,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,11693.5,0.43407,0.36364,0.00653,0.97521,0.87889,0.94594,0.89407,0.24159,0.202,0.00706,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,11862.3,0.43182,0.34892,0.00646,0.9757,0.88239,0.94851,0.89543,0.2446,0.19085,0.00725,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,12031.3,0.43709,0.35879,0.00638,0.9724,0.88748,0.94809,0.89565,0.23899,0.18897,0.00692,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,12200.1,0.44035,0.36899,0.00644,0.9709,0.88049,0.94351,0.89198,0.24501,0.19552,0.00714,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,12368.8,0.43099,0.34709,0.00638,0.97407,0.88568,0.9496,0.89834,0.22507,0.17921,0.00635,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,12537.5,0.43667,0.36021,0.00646,0.97194,0.88532,0.95366,0.8998,0.23944,0.1812,0.00709,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,12706.1,0.4293,0.34466,0.00627,0.96145,0.89551,0.95339,0.90044,0.22981,0.18093,0.00665,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,12874.7,0.42242,0.33191,0.00622,0.9617,0.90146,0.95116,0.89637,0.23547,0.18061,0.00683,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,13043.3,0.41754,0.32653,0.00618,0.97296,0.88695,0.94724,0.89913,0.22403,0.18089,0.00636,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,13212,0.42256,0.32711,0.00618,0.97259,0.88371,0.94665,0.90018,0.22331,0.17159,0.00638,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,13380.6,0.42133,0.33829,0.00613,0.96976,0.89711,0.95464,0.9055,0.21485,0.16715,0.00607,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,13549.1,0.41355,0.31587,0.00604,0.96429,0.89979,0.95368,0.90166,0.23259,0.16933,0.00677,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,13717.7,0.4188,0.32163,0.00613,0.97573,0.90503,0.95713,0.90625,0.23511,0.16654,0.007,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,13886.2,0.4058,0.31254,0.00601,0.96184,0.90506,0.95277,0.90699,0.22025,0.17112,0.00639,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,14054.9,0.41262,0.31226,0.00598,0.96504,0.9025,0.94875,0.90139,0.21245,0.17204,0.00596,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,14223.5,0.40528,0.31242,0.00587,0.9516,0.91747,0.95149,0.90594,0.2132,0.17183,0.0061,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,14392,0.40493,0.31436,0.00594,0.956,0.90821,0.94921,0.90191,0.21688,0.16729,0.00613,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,14560.9,0.40569,0.30629,0.00585,0.96874,0.8967,0.94928,0.90094,0.21969,0.17527,0.00636,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,14730.6,0.41485,0.31421,0.00585,0.95891,0.91286,0.95432,0.90548,0.21303,0.16263,0.00603,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,14900.2,0.40181,0.30554,0.00582,0.963,0.90655,0.94852,0.90376,0.21341,0.17015,0.00609,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,15069.9,0.40886,0.30548,0.00581,0.9656,0.90254,0.94905,0.90428,0.20515,0.16246,0.00564,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,15239.7,0.39898,0.2872,0.00574,0.96339,0.90253,0.94796,0.90303,0.21822,0.16294,0.00621,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,15409.4,0.39995,0.29145,0.00571,0.95202,0.91441,0.95307,0.90563,0.21811,0.15235,0.00616,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,15588,0.39304,0.28047,0.00567,0.97041,0.89643,0.95289,0.90621,0.20654,0.15118,0.00566,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,15756.8,0.39051,0.28289,0.00568,0.95967,0.90552,0.9582,0.90954,0.20437,0.15703,0.00563,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,15925.4,0.39119,0.28964,0.00561,0.96184,0.90675,0.95019,0.90523,0.20523,0.15923,0.00566,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,16094,0.38908,0.28106,0.00561,0.95342,0.91045,0.94842,0.90345,0.21535,0.17674,0.00616,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,16262.5,0.37679,0.2725,0.00544,0.96757,0.90622,0.95122,0.90931,0.19865,0.16138,0.00548,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,16431.1,0.39511,0.28679,0.00567,0.96824,0.89864,0.94936,0.90491,0.20092,0.1635,0.00548,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,16599.8,0.38734,0.2847,0.00551,0.96967,0.90836,0.95161,0.9077,0.1953,0.15838,0.00531,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,16768.3,0.38325,0.27398,0.00541,0.97184,0.90997,0.95346,0.90868,0.19461,0.1536,0.00528,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,16936.8,0.38836,0.27435,0.00547,0.96059,0.91908,0.95298,0.90974,0.19497,0.14955,0.0053,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,17105.3,0.38294,0.27511,0.00535,0.95984,0.92229,0.95385,0.91072,0.194,0.14449,0.00531,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,17273.9,0.37797,0.26674,0.00536,0.9652,0.92161,0.95437,0.91262,0.19013,0.15088,0.00517,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,17442.5,0.37443,0.26893,0.00529,0.97271,0.90943,0.95417,0.91217,0.18928,0.15121,0.00515,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,17610.9,0.36992,0.2608,0.00532,0.9638,0.91854,0.955,0.91288,0.18726,0.15145,0.00506,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,17779.6,0.37433,0.26314,0.00525,0.96682,0.92069,0.95603,0.91314,0.18636,0.1425,0.00501,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
